Date,EventName
2009-06-04,Obama Gives Speech in Cairo (Egypt)
2009-10-09,Obama Awarded Nobel Peace Prize
2010-01-14,Haiti Aid
2010-04-08,START Treaty Signed to Reduce Nuclear Arms
2010-06-26,G8 Summit
2010-08-31,Obama Announces End to Iraq Combat Mission
2010-11-02,Midterm elections
2011-02-02,New START Treaty Signed with Russia
2011-05-01,Osama Bin Laden killed
2011-10-21,Obama announces end of Iraq War
2012-02-05,Obama Freezes Iranian Assets
2012-09-01,Benghazi Diplomatic Mission Attack
2012-11-06,Obama Reelected
